verdict	doc	line	kind	token	ref	note	context
WEAK	Proverbs/book-overview-proverbs.md	232	translit	pātəḥâ	Prov 31:26	22 cand	*pîhā pātəḥâ* (31:26)
WEAK	Proverbs/book-overview-proverbs.md	233	translit	šōmēr	Prov 29:18	109 cand	28:4∥29:18's *šōmēr tôrâ* envelope
WEAK	Proverbs/book-overview-proverbs.md	233	translit	tôrâ	Prov 29:18	211 cand	28:4∥29:18's *šōmēr tôrâ* envelope
CONFIRMED	Proverbs/book-overview-proverbs.md	233	heb	צרף	Prov 30:5-6	1 cand	**30:5–6 quotes Ps 18:31 + Deut 4:2.** √צרף (17:3
CONFIRMED	Proverbs/book-overview-proverbs.md	233	heb	צרף	Ps 18:31	1 cand	**30:5–6 quotes Ps 18:31 + Deut 4:2.** √צרף (17:3
FAILED	Proverbs/book-overview-proverbs.md	233	heb	צרף	Deut 4:2	1 cand	**30:5–6 quotes Ps 18:31 + Deut 4:2.** √צרף (17:3
FAILED	Proverbs/book-overview-proverbs.md	233	heb	צרף	Deut 17:3	1 cand	**30:5–6 quotes Ps 18:31 + Deut 4:2.** √צרף (17:3
WEAK	Proverbs/book-overview-proverbs.md	264	translit	yirʾat	Prov 31:30	91 cand	**A lemma search has now confirmed that 31:30 carries the construct phrase *yirʾat YHWH* itself**
WEAK	Proverbs/book-overview-proverbs.md	264	translit	yārēʾ	Prov 14:2	63 cand	(The lemma *yārēʾ* with YHWH returns exactly two verses in Proverbs: 14:2 and 31:30.)
WEAK	Proverbs/book-overview-proverbs.md	264	translit	yārēʾ	Prov 31:30	63 cand	(The lemma *yārēʾ* with YHWH returns exactly two verses in Proverbs: 14:2 and 31:30.)
WEAK	Proverbs/book-overview-proverbs.md	321	translit	tôrâ	Prov 28:4	211 cand	The silence ends on a paragraph break: *tôrâ* twice at 28:4, *petuchah*, then the LORD at 28:5.
WEAK	Proverbs/book-overview-proverbs.md	321	translit	tôrâ	Prov 28:5	211 cand	The silence ends on a paragraph break: *tôrâ* twice at 28:4, *petuchah*, then the LORD at 28:5.
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	43	translit	mĕzimmâ	Prov 12:2	46 cand	*mĕzimmâ* (v.4, "discretion") is the noun rendered "evil devices" at 12:2, "a man of evil devices" at 14:17, and "the devising of folly" at 24:8
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	43	translit	mĕzimmâ	Prov 14:17	46 cand	*mĕzimmâ* (v.4, "discretion") is the noun rendered "evil devices" at 12:2, "a man of evil devices" at 14:17, and "the devising of folly" at 24:8
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	43	translit	mĕzimmâ	Prov 24:8	46 cand	*mĕzimmâ* (v.4, "discretion") is the noun rendered "evil devices" at 12:2, "a man of evil devices" at 14:17, and "the devising of folly" at 24:8
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	210	translit	ʿārûm	Gen 3:1	109 cand	the passage's sharpest lexical point.** The noun shares its root with the adjective *ʿārûm*, used in Genesis 3:1 of the serpent: "Now the serpent was more *crafty* than any other beast of the field." `[T]` *The root-identity is secure.* Within Proverbs the nou
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	210	translit	ʿārûm	Gen 1:4	109 cand	the passage's sharpest lexical point.** The noun shares its root with the adjective *ʿārûm*, used in Genesis 3:1 of the serpent: "Now the serpent was more *crafty* than any other beast of the field." `[T]` *The root-identity is secure.* Within Proverbs the nou
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	210	translit	ʿārûm	Prov 12:16	109 cand	and *ʿārûm* of the prudent man at 12:16, 23
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	220	translit	pethî	Prov 14:15	32 cand	The *pethî* is persuadable: 14:15, "the simple believes everything"
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	222	translit	Naʿar	Judg 13:5	99 cand	*Naʿar* covers an unusually wide range across the Old Testament: an unborn or infant child (Judg 13:5), a boy (1 Sam 2:11), a young man, a servant or retainer (Gen 22:5
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	222	translit	Naʿar	1Sam 2:11	99 cand	*Naʿar* covers an unusually wide range across the Old Testament: an unborn or infant child (Judg 13:5), a boy (1 Sam 2:11), a young man, a servant or retainer (Gen 22:5
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	222	translit	Naʿar	Gen 22:5	99 cand	*Naʿar* covers an unusually wide range across the Old Testament: an unborn or infant child (Judg 13:5), a boy (1 Sam 2:11), a young man, a servant or retainer (Gen 22:5
FAILED	Proverbs/dig-deeper-proverbs-1-1to7.md	224	translit	pethî	Exod 2:6	32 cand	> **Waltke gives the range with its legal markers, 22 August** `[S]`: the term "places the morally brainless *pethî* in an age group that extends from **infancy** (Exod 2:6
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	230	translit	ʾiššâ	Prov 31:30	81 cand	plus verbal forms, and **a fifteenth at 31:30 if the attributive use (*ʾiššâ yirʾat-YHWH*) is counted.** `[T]` *Confirmed 21 August
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	230	translit	yirʾat	Prov 31:30	91 cand	plus verbal forms, and **a fifteenth at 31:30 if the attributive use (*ʾiššâ yirʾat-YHWH*) is counted.** `[T]` *Confirmed 21 August
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	230	translit	Yārēʾ	Prov 10:1=24:34	63 cand	machine-checked for 10:1–24:34 and 28:1–29:27.* *Yārēʾ* covers both terror and reverence
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	230	translit	Yārēʾ	Prov 28:1=29:27	63 cand	machine-checked for 10:1–24:34 and 28:1–29:27.* *Yārēʾ* covers both terror and reverence
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	232	translit	rēʾšît	Num 18:12	61 cand	the *best* of something (Num 18:12, the *rēʾšît* of the oil and wine as the firstfruits offering
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	232	translit	rēʾšît	Amos 6:6	61 cand	Amos 6:6, those who anoint themselves with the *rēʾšît* of oils)
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	232	translit	tĕḥillat	Prov 9:10	57 cand	`[T]` *High on the range.* Note that 9:10 uses a different noun, *tĕḥillat*, which is unambiguously temporal, while 1:7's *rēʾšît* is not
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	232	translit	rēʾšît	Prov 1:7	61 cand	`[T]` *High on the range.* Note that 9:10 uses a different noun, *tĕḥillat*, which is unambiguously temporal, while 1:7's *rēʾšît* is not
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	283	translit	daʿat	Prov 9:10	37 cand	it doubles it.** I wrote that the LXX "assimilates 1:7 to 9:10", substituting *sophia* for the Hebrew *daʿat*, and used that as mild evidence against making much of the *rēʾšît* / *tĕḥillat* variation
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-1to7.md	283	translit	rēʾšît	Prov 9:10	Prov 8:2	it doubles it.** I wrote that the LXX "assimilates 1:7 to 9:10", substituting *sophia* for the Hebrew *daʿat*, and used that as mild evidence against making much of the *rēʾšît* / *tĕḥillat* variation
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	283	translit	tĕḥillat	Prov 9:10	57 cand	it doubles it.** I wrote that the LXX "assimilates 1:7 to 9:10", substituting *sophia* for the Hebrew *daʿat*, and used that as mild evidence against making much of the *rēʾšît* / *tĕḥillat* variation
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	330	translit	yirʾat	Job 28:28	91 cand	**Independent candidate-finding (run before testing any named candidate).** Taking the passage's own distinctive vocabulary: *yirʾat YHWH* + *rēʾšît* + *daʿat* (v.7) sends one to Job 28:28, Ps 111:10 and Prov 9:10
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	330	translit	rēʾšît	Job 28:28	61 cand	**Independent candidate-finding (run before testing any named candidate).** Taking the passage's own distinctive vocabulary: *yirʾat YHWH* + *rēʾšît* + *daʿat* (v.7) sends one to Job 28:28, Ps 111:10 and Prov 9:10
FAILED	Proverbs/dig-deeper-proverbs-1-1to7.md	330	translit	daʿat	Job 28:28	37 cand	**Independent candidate-finding (run before testing any named candidate).** Taking the passage's own distinctive vocabulary: *yirʾat YHWH* + *rēʾšît* + *daʿat* (v.7) sends one to Job 28:28, Ps 111:10 and Prov 9:10
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	330	translit	ḥokmâ	Deut 4:6	15 cand	*ḥokmâ* + *bînâ* as a pair (v.2) sends one to Deut 4:6 and Isa 11:2
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	330	translit	bînâ	Deut 4:6	133 cand	*ḥokmâ* + *bînâ* as a pair (v.2) sends one to Deut 4:6 and Isa 11:2
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	330	translit	ʿormâ	Gen 3:1	90 cand	*ʿormâ* (v.4) sends one to Gen 3:1
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	330	translit	ḥîdâ	1Kgs 10:1	28 cand	*ḥîdâ* (v.6) sends one to Judg 14, 1 Kgs 10:1 and Ps 78:2
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	330	translit	ḥîdâ	Ps 78:2	28 cand	*ḥîdâ* (v.6) sends one to Judg 14, 1 Kgs 10:1 and Ps 78:2
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	350	translit	ʿārûm	Gen 3:1	109 cand	*Source context.* Genesis 3:1 introduces the serpent with a single adjective, *ʿārûm*, and immediately demonstrates what it means: a question that is not quite a lie ("Did God actually say…?"), an appeal to the woman's judgement, and an outcome in which the co
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	350	translit	ʿărummîm	Gen 3:1	69 cand	*Source context.* Genesis 3:1 introduces the serpent with a single adjective, *ʿārûm*, and immediately demonstrates what it means: a question that is not quite a lie ("Did God actually say…?"), an appeal to the woman's judgement, and an outcome in which the co
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	352	translit	ʿārûm	Prov 12:16	109 cand	the adjective *ʿārûm* then recurs positively at least seven times (12:16, 23
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	356	translit	pethî	Prov 1:4	32 cand	Proverbs 1:4 proposes to close that gap by giving the *pethî* the *ʿormâ*
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	356	translit	ʿormâ	Prov 1:4	90 cand	Proverbs 1:4 proposes to close that gap by giving the *pethî* the *ʿormâ*
FAILED	Proverbs/dig-deeper-proverbs-1-1to7.md	382	translit	ḥokmâ	Prov 31:30	15 cand	*ḥokmâ* for *daʿat*), and → **31:30**, where it lands in verbal form on a woman actually praised for it
FAILED	Proverbs/dig-deeper-proverbs-1-1to7.md	382	translit	daʿat	Prov 31:30	37 cand	*ḥokmâ* for *daʿat*), and → **31:30**, where it lands in verbal form on a woman actually praised for it
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	490	translit	ʿārûm	Gen 3:1	109 cand	shares its root with *ʿārûm*, Gen 3:1
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	497	translit	tĕḥillat	Prov 9:10	57 cand	9:10 uses *tĕḥillat*, unambiguously temporal
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	511	translit	ʿOrmâ	Gen 3:1	90 cand	- ***ʿOrmâ* (v.4) and *ʿārûm* (Gen 3:1)**
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	511	translit	ʿārûm	Gen 3:1	109 cand	- ***ʿOrmâ* (v.4) and *ʿārûm* (Gen 3:1)**
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	513	translit	Mĕlîṣâ	Prov 1:22	92 cand	- ***Mĕlîṣâ*** (v.6, "a saying") and ***lēṣ*** (the scoffer, 1:22
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	513	translit	lēṣ	Prov 1:22	53 cand	- ***Mĕlîṣâ*** (v.6, "a saying") and ***lēṣ*** (the scoffer, 1:22
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	513	translit	lyṣ	Prov 9:7-8	55 cand	9:7–8) share the root *lyṣ*
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	532	translit	Rēʾšît	Prov 1:7	61 cand	- *Rēʾšît* vs *tĕḥillat* (1:7 vs 9:10): verify that the nouns differ and that the difference is not merely stylistic.
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-1to7.md	532	translit	tĕḥillat	Prov 1:7	Prov 2:1	- *Rēʾšît* vs *tĕḥillat* (1:7 vs 9:10): verify that the nouns differ and that the difference is not merely stylistic.
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-1to7.md	535	translit	lāmed	Prov 1:3	Prov 2:1	the missing *lāmed* at 1:3b
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	549	translit	daʿat	Prov 9:10	37 cand	The Hebrew's distinction between 1:7 (*daʿat*) and 9:10 (*ḥokmâ*) is the reading preached here, and it is the reading the ESV gives.
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	549	translit	ḥokmâ	Prov 9:10	15 cand	The Hebrew's distinction between 1:7 (*daʿat*) and 9:10 (*ḥokmâ*) is the reading preached here, and it is the reading the ESV gives.
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	598	translit	pethî	Prov 1:32	32 cand	the *pethî* either gets discernment or gets destroyed (1:32)
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	687	translit	bînâ	Prov 1:2	133 cand	**That verse pairs Prov 1:2's *ḥokmâ*/*bînâ* with Prov 1:7's fear of the LORD, of the coming king.** `[T]` *Moderate–high
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-1to7.md	687	translit	bînâ	Prov 1:7	Prov 1:6	**That verse pairs Prov 1:2's *ḥokmâ*/*bînâ* with Prov 1:7's fear of the LORD, of the coming king.** `[T]` *Moderate–high
FAILED	Proverbs/dig-deeper-proverbs-1-1to7.md	729	translit	Ḥîdôt	Prov 26:4-5	28 cand	*Ḥîdôt* in a purpose statement is a genre-signal, and 26:4–5 pays it off
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	762	translit	rēʾšît	Num 18:12	61 cand	- **Why it's wrong:** *rēʾšît* carries both the temporal sense and the sense of *chief part* or *best* (Num 18:12
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	768	translit	māšāl	Prov 22:6	109 cand	A congregation not taught to read a *māšāl* will read every proverb as either a promise or a rule, and both misreadings produce pastoral damage (22:6 preached as a guarantee
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	795	translit	ʿārûm	Gen 3:1	109 cand	~~**The *ʿormâ*/*ʿārûm* link (v.4 ↔ Gen 3:1).** The root-identity is secure
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	820	translit	ʿormâ	Prov 1:4	90 cand	the noun *ʿormâ* at 1:4
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	885	translit	ḥokmâ	Deut 4:6	15 cand	Deut 4:6 pairs *ḥokmâ* and *bînâ*
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	885	translit	bînâ	Deut 4:6	133 cand	Deut 4:6 pairs *ḥokmâ* and *bînâ*
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	889	translit	pethî	Prov 9:4	32 cand	the *pethî* thread running to 9:4/9:16
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	889	translit	pethî	Prov 9:16	32 cand	the *pethî* thread running to 9:4/9:16
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	926	translit	mĕzimmâ	Prov 1:4	46 cand	1–9), where a comment on *mĕzimmâ* at 1:4 would sit, was not available
WEAK	Proverbs/dig-deeper-proverbs-1-1to7.md	926	translit	ʿormâ	Gen 3:1	90 cand	The *ʿormâ*/Gen 3:1 half of Headline Finding 2 (Open Question 1) was **not** put to the library and remains this report's own proposal.
UNRESOLVED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	152	translit	lĕhaṣṣîlĕkā	Prov 2:12		**The purpose-infinitives of deliverance.** *lĕhaṣṣîlĕkā*, "to deliver you," at 2:12 and 2:16
UNRESOLVED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	152	translit	lĕhaṣṣîlĕkā	Prov 2:16		**The purpose-infinitives of deliverance.** *lĕhaṣṣîlĕkā*, "to deliver you," at 2:12 and 2:16
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	215	translit	lēb	Prov 6:25	69 cand	It counted 4:21 and 6:25 as *lēb* when both are *lēbāb*
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	215	translit	lēbāb	Prov 6:25	69 cand	It counted 4:21 and 6:25 as *lēb* when both are *lēbāb*
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	217	translit	ḥăsar	Prov 9:4	16 cand	And two of those three are the *same phrase*: *ḥăsar-lēb*, "he who lacks heart/sense", spoken by **Wisdom at 9:4 and by Folly at 9:16 in identical words**
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	217	translit	lēb	Prov 9:4	69 cand	And two of those three are the *same phrase*: *ḥăsar-lēb*, "he who lacks heart/sense", spoken by **Wisdom at 9:4 and by Folly at 9:16 in identical words**
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	221	translit	ʾiššâ	Prov 7:4	81 cand	**(e) The women's vocabulary is shared.** *Ḥokmâ* is called "sister" (7:4) in the same breath as the warning against the *ʾiššâ zārâ*
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	221	translit	zārâ	Prov 7:4	Prov 7:5	**(e) The women's vocabulary is shared.** *Ḥokmâ* is called "sister" (7:4) in the same breath as the warning against the *ʾiššâ zārâ*
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	221	translit	pethî	Prov 9:4	32 cand	both address the *pethî* in identical words (9:4, 16)
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	243	translit	ḥokmôt	Prov 1:20	Prov 2:2	**1:20, "Wisdom cries aloud."** The Hebrew noun is the **plural** *ḥokmôt* with a singular verb
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	275	translit	ḥālaq	Prov 2:16	31 cand	*ḥālaq* at 2:16
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	281	translit	Zārâ	Isa 1:7	49 cand	> ***Zārâ* does not mean "foreigner" here.** The root *zûr* can denote ethnic outsiders (Isa 1:7
FAILED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	295	translit	rĕpāʾîm	Prov 2:18	54 cand	2:18 (*rĕpāʾîm*)
FAILED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	295	translit	rĕpāʾîm	Prov 9:18	54 cand	9:18 (*rĕpāʾîm*)
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	317	translit	tôrâ	Prov 28:4-9	211 cand	The third is confirmed by the book's own later development at 28:4–9 and 29:18, where absolute *tôrâ* finally appears
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	317	translit	tôrâ	Prov 29:18	211 cand	The third is confirmed by the book's own later development at 28:4–9 and 29:18, where absolute *tôrâ* finally appears
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	337	translit	tĕḥillat	Prov 1:7	Prov 2:1	Note that 9:10 uses *tĕḥillat* where 1:7 used *rēʾšît*
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	337	translit	rēʾšît	Prov 1:7	61 cand	Note that 9:10 uses *tĕḥillat* where 1:7 used *rēʾšît*
FAILED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	356	translit	rĕpāʾîm	Prov 2:18	54 cand	2:18 *rĕpāʾîm*
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	358	translit	hōmiyyâ	Prov 7:11	41 cand	7:11 the strange woman is "loud" (*hōmiyyâ*)
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	362	translit	mĕzimmâ	Prov 31:16	46 cand	1:4 *mĕzimmâ* → 31:16 *zāmĕmâ* (proposed
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	362	translit	zāmĕmâ	Prov 31:16	28 cand	1:4 *mĕzimmâ* → 31:16 *zāmĕmâ* (proposed
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	469	translit	ʾim	Prov 2:6	Prov 2:4	three *ʾim* clauses, two *ʾāz* apodoses, a *kî* grounding the whole in divine gift (2:6)
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	469	translit	ʾāz	Prov 2:6	Prov 2:5	three *ʾim* clauses, two *ʾāz* apodoses, a *kî* grounding the whole in divine gift (2:6)
UNRESOLVED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	471	translit	lĕhaṣṣîlĕkā	Prov 2:12		*lĕhaṣṣîlĕkā* at 2:12, 16, naming the two threads the rest of the lectures develop
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	477	translit	šāgâ	Prov 5:19	49 cand	- ***šāgâ*** at 5:19/5:20/5:23
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	477	translit	šāgâ	Prov 5:20	49 cand	- ***šāgâ*** at 5:19/5:20/5:23
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	477	translit	šāgâ	Prov 5:23	49 cand	- ***šāgâ*** at 5:19/5:20/5:23
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	478	translit	hōmiyyâ	Prov 7:11	41 cand	- ***hōmiyyâ*** at 7:11 and 9:13
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	478	translit	hōmiyyâ	Prov 9:13	41 cand	- ***hōmiyyâ*** at 7:11 and 9:13
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	485	translit	Ḥokmôt	Prov 1:20	Prov 2:2	- *Ḥokmôt* at 1:20
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	536	translit	tôrâ	Prov 1:8	211 cand	- **Surprising:** that the mother's word stands beside the father's, and is called *tôrâ* (1:8).
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	551	translit	pethî	Prov 1:4	32 cand	Anchored in the text: the addressee is named *pethî*, "open" (1:4)
UNRESOLVED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	665	translit	lĕhaṣṣîlĕkā	Prov 2:5		The four *lĕhaṣṣîlĕkā* concerns of 2:5–19 map onto 3:1–12, 3:21–35, 4:10–27, and 5–7 in sequence
UNRESOLVED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	665	translit	lĕhaṣṣîlĕkā	Prov 3:1-12		The four *lĕhaṣṣîlĕkā* concerns of 2:5–19 map onto 3:1–12, 3:21–35, 4:10–27, and 5–7 in sequence
UNRESOLVED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	665	translit	lĕhaṣṣîlĕkā	Prov 3:21		The four *lĕhaṣṣîlĕkā* concerns of 2:5–19 map onto 3:1–12, 3:21–35, 4:10–27, and 5–7 in sequence
UNRESOLVED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	665	translit	lĕhaṣṣîlĕkā	Prov 4:10		The four *lĕhaṣṣîlĕkā* concerns of 2:5–19 map onto 3:1–12, 3:21–35, 4:10–27, and 5–7 in sequence
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	724	translit	pethî	Prov 9:4	32 cand	The frame's addressee is the *pethî*, and 9:4 and 9:16 are both addressed to him.
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	724	translit	pethî	Prov 9:16	32 cand	The frame's addressee is the *pethî*, and 9:4 and 9:16 are both addressed to him.
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	744	translit	Ḥālaq	Prov 2:16	31 cand	~~**The *lēb* count (16) and the *ḥālaq* count (5).** Likewise.~~ **Resolved 15 August.** *Ḥālaq* **confirmed** at five: 2:16
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	754	translit	ʾiššâ	Prov 1:4	Prov 2:1	That is a material gap for a section dig on 1–9: Fox's lecture/interlude analysis, his treatment of the *ʾiššâ zārâ*, and his comment on *mĕzimmâ* at 1:4 all sit in the missing volume
FAILED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	754	translit	zārâ	Prov 1:4	49 cand	That is a material gap for a section dig on 1–9: Fox's lecture/interlude analysis, his treatment of the *ʾiššâ zārâ*, and his comment on *mĕzimmâ* at 1:4 all sit in the missing volume
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	754	translit	mĕzimmâ	Prov 1:4	46 cand	That is a material gap for a section dig on 1–9: Fox's lecture/interlude analysis, his treatment of the *ʾiššâ zārâ*, and his comment on *mĕzimmâ* at 1:4 all sit in the missing volume
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	771	translit	tāšûbû	Prov 1:23	66 cand	> **1:23** *tāšûbû*
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	771	translit	mĕšûbat	Prov 1:32	141 cand	**1:32** *mĕšûbat pĕtāyim*
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	771	translit	pĕtāyim	Prov 1:32	18 cand	**1:32** *mĕšûbat pĕtāyim*
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	817	translit	wĕʿattâ	Prov 8:32	69 cand	the ***wĕʿattâ bānîm šimʿû-lî* migration** at 8:32 (Headline 2)
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	817	translit	bānîm	Prov 8:32	99 cand	the ***wĕʿattâ bānîm šimʿû-lî* migration** at 8:32 (Headline 2)
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	817	translit	šimʿû	Prov 8:32	65 cand	the ***wĕʿattâ bānîm šimʿû-lî* migration** at 8:32 (Headline 2)
FAILED	Proverbs/dig-deeper-proverbs-1-8to9-18.md	834	translit	ḥokmôt	Prov 8:22	15 cand	- Tool 8 ancient-versions check: run, with one `Translation-tradition split:` (8:22) and one category-1 item (1:20's plural *ḥokmôt*).
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	834	translit	ḥokmôt	Prov 1:20	Prov 2:2	- Tool 8 ancient-versions check: run, with one `Translation-tradition split:` (8:22) and one category-1 item (1:20's plural *ḥokmôt*).
WEAK	Proverbs/dig-deeper-proverbs-1-8to9-18.md	835	translit	šāgâ	Prov 5:19-23	49 cand	*šāgâ* at 5:19–23, *ḥokmôt* at 1:20, the LXX at 8:22
NEAR-MISS	Proverbs/dig-deeper-proverbs-1-8to9-18.md	835	translit	ḥokmôt	Prov 1:20	Prov 2:2	*šāgâ* at 5:19–23, *ḥokmôt* at 1:20, the LXX at 8:22
WEAK	Proverbs/dig-deeper-proverbs-10-1to15-33.md	28	translit	ṭôb	Prov 15:16	52 cand	*ṭôb məʿaṭ* (15:16 ∥ 16:8)
WEAK	Proverbs/dig-deeper-proverbs-10-1to15-33.md	28	translit	məʿaṭ	Prov 15:16	79 cand	*ṭôb məʿaṭ* (15:16 ∥ 16:8)
WEAK	Proverbs/dig-deeper-proverbs-10-1to15-33.md	28	translit	sûr	Prov 13:19	61 cand	*sûr mērāʿ* (13:19 ∥ 16:6)
WEAK	Proverbs/dig-deeper-proverbs-10-1to15-33.md	28	translit	mērāʿ	Prov 13:19	101 cand	*sûr mērāʿ* (13:19 ∥ 16:6)
WEAK	Proverbs/dig-deeper-proverbs-10-1to15-33.md	28	translit	bəlōʾ	Prov 13:23	102 cand	*bəlōʾ mišpāṭ* (13:23 ∥ 16:8)
WEAK	Proverbs/dig-deeper-proverbs-10-1to15-33.md	28	translit	mišpāṭ	Prov 13:23	98 cand	*bəlōʾ mišpāṭ* (13:23 ∥ 16:8)
